 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Fiscal Year 2025 General Budget [FINAL],,,,,,,,,,
ASUC Chief Financial Officer: Catherine Park,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Chartered Programs and Commissions,,,,,,,,,,
Organization,Sponsorship Category,,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding
Korean Business  Society,Student Activity Group (SAG),2,159286,34020475600000,,,,,SPONSORSHIP ONLY (ABSA),$0
Korean Performance Group,Student Activity Group (SAG),9,59417,34020277200000,,,,,$700,$700
"Lambda Theta Nu Sorority, Inc.",Student Activity Group (SAG),14,46156,34020150000000,,,,,"$1,080","$1,080"
Latin American Leadership Society,Student Activity Group (SAG),10,125268,34020277600000,,,,,$650,$650
Latinx Pre-Law Society,Student Activity Group (SAG),3,46000,34020152000000,,,,,$650,$650
Launchpad,Student Activity Group (SAG),8,163843,34020375200000,,,,,"$1,150","$1,150"
Lavender Alliance at Berkeley,Student Activity Group (SAG),4,333498,34020508000000,,,,,SPONSORSHIP ONLY (ABSA),$0
Laya of Berkeley,Student Activity Group (SAG),6,117506,34020446400000,,,,,"$2,000","$2,000"
Le Cercle Français of Berkeley,Student Activity Group (SAG),8,91299,34020615200000,,,,,$300,$300
Lindy on Sproul,Student Activity Group (SAG),14,46655,34020155600000,,,,,$650,$650
Logging Sports Team,Student Activity Group (SAG),2,46452,34020156000000,,,,,$650,$650
Love Stories Book Club,Student Activity Group (SAG),2,361707,34020614000000,,,,,$300,$300
LUXX,Student Activity Group (SAG),2,351500,34020579600000,,,,,$650,$650
Mahjong Club,Student Activity Group (SAG),2,91956,34020278000000,,,,,$650,$650
Main Stacks Dance Team,Student Activity Group (SAG),12,46004,34020157600000,,,,,"$2,000","$2,000"
Malaysian Student Association at Berkeley,Student Activity Group (SAG),4,139269,34020338800000,,,,,$585,$585
Mariachi Luz de Oro,Student Activity Group (SAG),11,83049,34020158800000,,,,,"$2,100","$2,100"
Mathematics Undergraduate Student Association,Student Activity Group (SAG),8,91296,34020375600000,,,,,SPONSORSHIP ONLY (ABSA),$0
MI2 @ Berkeley,Student Activity Group (SAG),2,343546,34020554000000,,,,,$158,$158
Microfinance at Berkeley,Student Activity Group (SAG),12,61000,34020161600000,,,,,"$2,000","$2,000"
Middle Eastern Business Association,Student Activity Group (SAG),4,301968,34020508800000,,,,,$650,$650
Minorities in Health Conferece,Student Activity Group (SAG),5,290172,34020462000000,,,,,"$1,000","$1,000"
Molecular and Cell Biology Cell Developmental Neurobiological Association,Student Activity Group (SAG),10,46703,34020164400000,,,,,$800,$800
